procedure,calls,certified_calls,median_seconds,p90_seconds,p95_seconds,max_seconds,elapsed_hours
Weak heuristic,749,744,0.10657509998418391,21.358025480061773,33.19427770003677,1597.1611417999957,2.2802030048336017
Initial lexicographic audit,1440,1440,0.20682320004561916,27.38993414005968,42.92461848005186,228.93413589987904,2.8632991472514306
Floor-preserving stabilization,189,185,44.64067290001549,677.5976701803045,1021.1038205599413,2022.4904302998912,10.376793589583055
