instance,markets,initial_blocked,lex_assisted,weak_assisted,initial_blocked_rate,lex_assisted_rate,weak_assisted_rate
genxml-0.xml,48,1,1,0,0.020833333333333332,0.020833333333333332,0.0
genxml-11.xml,48,5,5,0,0.10416666666666667,0.10416666666666667,0.0
genxml-13.xml,48,0,0,0,0.0,0.0,0.0
genxml-2.xml,48,1,0,0,0.020833333333333332,0.0,0.0
genxml-23.xml,48,0,0,0,0.0,0.0,0.0
genxml-24.xml,48,3,3,0,0.0625,0.0625,0.0
genxml-25.xml,48,4,4,0,0.08333333333333333,0.08333333333333333,0.0
genxml-27.xml,48,4,4,0,0.08333333333333333,0.08333333333333333,0.0
genxml-36.xml,48,5,3,0,0.10416666666666667,0.0625,0.0
genxml-37.xml,48,3,2,1,0.0625,0.041666666666666664,0.020833333333333332
genxml-39.xml,48,2,2,0,0.041666666666666664,0.041666666666666664,0.0
genxml-4.xml,48,2,2,0,0.041666666666666664,0.041666666666666664,0.0
genxml-46.xml,48,2,2,0,0.041666666666666664,0.041666666666666664,0.0
genxml-48.xml,48,1,1,0,0.020833333333333332,0.020833333333333332,0.0
genxml-57.xml,48,1,1,0,0.020833333333333332,0.020833333333333332,0.0
genxml-58.xml,48,4,3,0,0.08333333333333333,0.0625,0.0
genxml-60.xml,48,1,1,0,0.020833333333333332,0.020833333333333332,0.0
genxml-65.xml,48,3,3,0,0.0625,0.0625,0.0
genxml-68.xml,48,5,3,0,0.10416666666666667,0.0625,0.0
genxml-70.xml,48,1,1,0,0.020833333333333332,0.020833333333333332,0.0
genxml-71.xml,48,3,3,0,0.0625,0.0625,0.0
genxml-80.xml,48,3,2,0,0.0625,0.041666666666666664,0.0
genxml-83.xml,48,3,2,0,0.0625,0.041666666666666664,0.0
genxml-84.xml,48,0,0,0,0.0,0.0,0.0
genxml-88.xml,48,4,4,0,0.08333333333333333,0.08333333333333333,0.0
genxml-89.xml,48,2,2,0,0.041666666666666664,0.041666666666666664,0.0
genxml-91.xml,48,4,2,0,0.08333333333333333,0.041666666666666664,0.0
genxml-92.xml,48,2,1,0,0.041666666666666664,0.020833333333333332,0.0
genxml-93.xml,48,0,0,0,0.0,0.0,0.0
genxml-94.xml,48,2,2,0,0.041666666666666664,0.041666666666666664,0.0
